term,normalized_term,semantic_hint,category,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes,source_id,acronym,acronym_expansion,source_tier,license_status,retrieval_date,census_attested,legal_overlap,higher_ed_overlap,finance_accounting_tax_overlap,known_overlap_families
pay retention,pay retention,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pay scale,pay scale,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pay schedule,pay schedule,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pay system,pay system,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pension plan,pension plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
PEP,pep,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,PEP,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance appraisal,performance appraisal,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance award,performance award,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance element,performance element,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance improvement plan,performance improvement plan,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance management,performance management,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance management cycle,performance management cycle,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance plan,performance plan,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance rating,performance rating,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance standard,performance standard,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
performance-based action,performance-based action,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
personal favoritism,personal favoritism,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
personnel action,personnel action,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
picket line,picket line,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
PIP,pip,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,PIP,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
plan administrator,plan administrator,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
plan sponsor,plan sponsor,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
plan year,plan year,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pooled employer plan,pooled employer plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
pooled plan provider,pooled plan provider,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
position change,position change,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
position change action,position change action,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
position classification,position classification,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
position classification standard,position classification standard,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
position description,position description,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
position title,position title,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,True,False,higher_ed
PPP,ppp,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,PPP,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
preexisting condition,preexisting condition,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
pregnancy discrimination,pregnancy discrimination,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Pregnant Workers Fairness Act,pregnant workers fairness act,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
premium pay,premium pay,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
profit sharing plan,profit sharing plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Prohibited Personnel Practices,prohibited personnel practices,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
promotion,promotion,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
protected activity,protected activity,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
protected concerted activity,protected concerted activity,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
PWFA,pwfa,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,PWFA,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
QDRO,qdro,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,QDRO,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
qualification requirements,qualification requirements,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
qualification standard,qualification standard,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
qualified domestic relations order,qualified domestic relations order,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
qualifying exigency,qualifying exigency,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
rating of record,rating of record,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
reasonable accommodation,reasonable accommodation,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,True,False,False,legal
reassignment,reassignment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
recertification,recertification,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
recordable case,recordable case,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
recordkeeping,recordkeeping,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
reduced schedule leave,reduced schedule leave,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
reinstatement,reinstatement,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
reinstatement,reinstatement,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
religious accommodation,religious accommodation,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
religious discrimination,religious discrimination,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
removal,removal,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
removal,removal,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
representation petition,representation petition,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
representation petition,representation petition,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
reprisal,reprisal,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
resignation,resignation,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
restoration,restoration,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
restricted work,restricted work,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
restricted work activity,restricted work activity,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
restricted work case,restricted work case,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
retaliation,retaliation,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,True,False,False,legal
retirement,retirement,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
retirement plan,retirement plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
rewarding,rewarding,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
rights and responsibilities notice,rights and responsibilities notice,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
routine job functions,routine job functions,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
