term,normalized_term,semantic_hint,source,source_url,source_family,derived_variant,collision_risk,notes
IPEDS Collection Year Designator,ipeds collection year designator,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27592,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=IPEDS Reporting
IPEDS College Opportunities Online Locator (IPEDS COOL),ipeds college opportunities online locator ipeds cool,ORGANIZATION,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
IPEDS coordinator,ipeds coordinator,ROLE,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
IPEDS Finance FASB Financial Position Category,ipeds finance fasb financial position category,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27652,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance FASB Functional Expense Category,ipeds finance fasb functional expense category,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27640,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance FASB Pell Grant Transactions,ipeds finance fasb pell grant transactions,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27661,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance FASB Revenue Category,ipeds finance fasb revenue category,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27654,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance FASB Revenue Restriction Category,ipeds finance fasb revenue restriction category,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27655,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance FASB Scholarships and Fellowships Revenue Category,ipeds finance fasb scholarships and fellowships revenue category,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27659,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance GASB Financial Position Category,ipeds finance gasb financial position category,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27651,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance GASB Functional Expense Category,ipeds finance gasb functional expense category,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27656,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance GASB Revenue Category,ipeds finance gasb revenue category,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27653,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance GASB Scholarships and Fellowships Revenue Category,ipeds finance gasb scholarships and fellowships revenue category,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27658,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance Intercollegiate Athletics Expenses,ipeds finance intercollegiate athletics expenses,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27660,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Finance Natural Expense Category,ipeds finance natural expense category,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27657,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Institution; category=Finance
IPEDS Occupational Category,ipeds occupational category,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26708,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Staff; category=Employment
IPEDS universe,ipeds universe,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term. Related item: Institutional Characteristics (IC)
IPEDS Use the Data Webpage (formerly IPEDS Data Center),ipeds use the data webpage formerly ipeds data center,ORGANIZATION,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
ISIR,isir,ROLE,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,true,MEDIUM,Derived mechanically from source-attested form “Institutional Student Information Record (ISIR)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
ISO 639-2 Language Code,iso 639 2 language code,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26317,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Language
ISO 639-3 Language Code,iso 639 3 language code,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27618,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Language
ISO 639-5 Language Family,iso 639 5 language family,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27619,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Language
Job Identification System,job identification system,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28026,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Identifier,job identifier,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28027,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Position Expected Start Date,job position expected start date,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28028,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Position Identification System,job position identification system,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28029,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Position Identifier,job position identifier,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28030,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Position Status,job position status,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28031,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Position Status Cancelled Reason,job position status cancelled reason,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28032,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Position Status Date,job position status date,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28033,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Job Training Partnership Act,job training partnership act,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Job Training Partnership Act (JTPA)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Job Training Partnership Act (JTPA),job training partnership act jtpa,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
JTPA,jtpa,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,MEDIUM,Derived mechanically from source-attested form “Job Training Partnership Act (JTPA)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
Keyholder,keyholder,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Land and land improvements,land and land improvements,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Land-grant institution,land grant institution,ORGANIZATION,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Language Type,language type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26316,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Language
Last or Surname,last or surname,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26172,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Contact->Name
Latitude,latitude,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26599,NCES/CEDS,false,HIGH,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Leave Event Type,leave event type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26617,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Attendance
Legacy status,legacy status,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Less than 2-year institution,less than 2 year institution,ORGANIZATION,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Less than 9/10-month salary contract/teaching period,less than 9 10 month salary contract teaching period,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Less-than-annual contract or employment agreement,less than annual contract or employment agreement,DOCUMENT_SYSTEM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Level of Institution,level of institution,ORGANIZATION,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26178,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=Directory
Level (of institution),level of institution,ORGANIZATION,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,"Source-attested IPEDS glossary term. Related item: Sector,Control (of institution)"
Levels of offering,levels of offering,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Liabilities,liabilities,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Librarians and Media Collections Specialists,librarians and media collections specialists,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
"Librarians, Curators, and Archivists",librarians curators and archivists,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Library,library,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Library and Student and Academic Affairs and Other Education Services Occupations,library and student and academic affairs and other education services occupations,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Library collections,library collections,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Library Technicians,library technicians,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Loan funds,loan funds,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Loans to students,loans to students,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Local Address,local address,OTHER_DOMAIN_TERM,UC Berkeley Office of the Registrar Enrollment Glossary,https://registrar.berkeley.edu/enrollment/glossary/,Public institutional registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
"Local appropriations, education district taxes, and similar support",local appropriations education district taxes and similar support,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Local Education Agency Identification System,local education agency identification system,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26159,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=K12 Transcript
Local Education Agency Identifier,local education agency identifier,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26153,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=K12 Transcript
Local government grants and contracts,local government grants and contracts,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Local government grants and contracts (revenues)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Local government grants and contracts (revenues),local government grants and contracts revenues,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Local Job Category,local job category,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28043,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Local Job Function,local job function,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28044,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Job
Locale,locale,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28115,NCES/CEDS,false,HIGH,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Locked,locked,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Long programs,long programs,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Long-term debt,long term debt,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,"Source-attested IPEDS glossary term. Related item: Long-term debt, current portion"
"Long-term debt, current portion",long term debt current portion,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Long-term investments,long term investments,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Longitude,longitude,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26600,NCES/CEDS,false,HIGH,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Losses,losses,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Major,major,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,HIGH,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Major Requirement,major requirement,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Management Function,management function,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Mandatory transfers,mandatory transfers,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Marital Status,marital status,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27942,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Demographic
Market value,market value,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Marking Period Name,marking period name,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26182,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Course Section; category=Enrollment->Student Course Section Mark
Master Promissory Note,master promissory note,ACADEMIC_CONCEPT,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,true,LOW,Derived mechanically from source-attested form “Master Promissory Note (MPN)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Master Promissory Note (MPN),master promissory note mpn,ACADEMIC_CONCEPT,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,MEDIUM,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Master's Colleges and Universities I,master s colleges and universities i,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Master's Colleges and Universities I (Carnegie)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Master's Colleges and Universities I (Carnegie),master s colleges and universities i carnegie,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term. Related item: Carnegie Classification
Master's Colleges and Universities II,master s colleges and universities ii,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,MEDIUM,Derived mechanically from source-attested form “Master's Colleges and Universities II (Carnegie)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Master's Colleges and Universities II (Carnegie),master s colleges and universities ii carnegie,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term. Related item: Carnegie Classification
Master's degree,master s degree,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Maternal Guardian Education,maternal guardian education,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27194,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Demographic
Medical school staff,medical school staff,ROLE,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Medical School Staff Status,medical school staff status,ROLE,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26710,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Employment
Medical schools and medical centers,medical schools and medical centers,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Medical schools and medical centers (Carnegie)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Medical schools and medical centers (Carnegie),medical schools and medical centers carnegie,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,"Source-attested IPEDS glossary term. Related item: Carnegie Classification,Specialized institutions (Carnegie)"
Mid Term Mark,mid term mark,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26183,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=Course Section; category=Enrollment->Student Course Section Mark
Middle Name,middle name,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26184,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Contact->Name
Migrant Status,migrant status,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26189,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Migrant
Migration,migration,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,HIGH,Derived mechanically from source-attested form “Migration (data)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Migration (data),migration data,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Migration (students),migration students,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Military Branch,military branch,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27621,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Demographic
Military Campaigns,military campaigns,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28047,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Military
Military Connected Student Indicator,military connected student indicator,ROLE,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27555,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Status
Military Country,military country,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28048,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Military
Military Current Rank,military current rank,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=28049,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Military
